Marca,Producto,Precio_COP,Calificacion,Tienda
ASUS,"TUF GAMING AMD RYZEN 7-7445HS RTX 3050 4GB SSD 512GB RAM 24GB LED 15,6 FHD 144Hz /",,,Falabella
ASUS,PortÃ¡til Gamer TUF A16 FA607N / Ryzen 7 7445HS / RTX 4050 6GB / 24GB RAM / SSD 512GB /16â³ WUXGA,,,Falabella
LENOVO,PortÃ¡til Intel Core i5 13420H 24GB RAM 1TB SSD 14 FHD,,,Falabella
ASUS,"PORTATIL VIVOBOOK AMD RYZEN 7-5825U RAM 12GB SSD 512GB 15,6 FHD",,,Falabella
LENOVO,PortÃ¡til Slim 3 Ryzen 5-7520u Ram 16gb Ssd 512gb Pantalla 15.6â³,,,Falabella
HP,PORTATIL GAMER OMEN - ULTRA 7 255H - RAM 24GB - SSD 1TB- RTX 5060 8GB,,,Falabella
LENOVO,V14 INTEL CORE I7-13620H SSD 1TB RAM 24GB LED 14 FULL HD,,,Falabella
LENOVO,PORTATIL GAMER LEGION5i 15IRX10 - I9 14900HX - RAM 16GB - SSD 1TB - RTX 5070 8GB,,,Falabella
HP,PORTATIL PORTATIL INTEL CI5 1235U RAM 16GB DDR4 SSD 512GB M2 156 - FHD,,,Falabella
LENOVO,"PortÃ¡til Gamer Legion 5 Ryzen 7 260 Ram48GB SSD 2TB RTX 5060 8GB Pantalla 15.1"" WUXGA OLED",,,Falabella
HP,"PORTATIL AMD RYZEN 7-7730U SSD 2TB RAM 40GB LED 15,6 FULL HD",,,Falabella
LENOVO,PortÃ¡til IdeaPad 5 2 en 1 G10 Ryzen 5 16GB 512GB + AI - Azul,,,Falabella
LENOVO,PORTATIL THINKBOOK INTEL CORE ULTRA 5 225U RAM 32GB DDR5 - SSD 1Tera -WIN 11 PRO,,,Falabella
LENOVO,"PortÃ¡til Gamer Legion 5 Intel I9 14900HX 16GB DDR5 1TB SSD M.2 RTX 5070 8GB - 15.1"" OLED 165Hz",,,Falabella
LENOVO,PORTATIL ThinkPad E14 Gen 6 Intel Core Ultra 7 155H /SSD 1TB/ RAM 32GB/ Pantalla 14,,,Falabella
HP,"PortÃ¡til Gaming OMEN League of Legends Ed 16"" 2K Core i7 14650HX - 32GB - RTX 5060 - SSD 1TB",,,Falabella
ASUS,PORTÃTIL 16â³ RYZEN 9 16GB RAM 1 TB SSD WUXGA GRIS + KASPERSKY,,,Falabella
LENOVO,PortÃ¡til Yoga Pro 7 Ryzen AI 9 AMD Radeon 1TB 145,,,Falabella
LENOVO,"PortÃ¡til Gamer Legion 5 Ryzen 7 260 Ram64GB SSD 2TB RTX 5060 8GB Pantalla 15.1"" WUXGA OLED",,,Falabella
LENOVO,"PortÃ¡til Gamer LegiÃ³n 5 - I7 14700HX ram 16GB SSD 512GB M.2 RTX 5060 8GB 15"" 2K OLED 165Hz",,,Falabella
HP,"Portatil ProBook 460 G11 Intel Core Ultra 7 155U vPro 16/512 Silver Aluminum 16"" Win 11 Pro.",,,Falabella
ASUS,Portatil Gamer TUF F16 Intel Core i7-14650HX RAM 16GB SSD 512GB RTX 5050,,,Falabella
ASUS,"Portatil Vivobook Ryzen 9 270 Memoria Ram 16GB Disco SSD 512 GB Pantalla 16"" WUXGA",,,Falabella
ASUS,PortÃ¡til Vivobook S M3607HA-RP111 AMD Ryzen 9-270 Ram 16GB SSD 512gb - Gris,,,Falabella
LENOVO,PORTATIL INTEL CORE I5-13420H SSD 512GB RAM 16GB LED 14 FHD,,,Falabella
LENOVO,Portatil Ideapad Slim 3 Intel Core I7 13620h RAM 16gb SSD 1TB 15 WIN 11,,,Falabella
HP,PortÃ¡til Gamer Victus AMD Ryzen 7 24GB/2TB RTX 4050 6GB,,,Falabella
ASUS,PortÃ¡til M1607KA-MB123 RYZEN AI 7-350 RAM 16GB SSD 512GB M.2 PANTALLA 16â³ WUXGA,,,Falabella
LENOVO,"PortÃ¡til Gamer Legion 5 Ryzen 7 260 Ram16GB SSD512GB RTX 5060 8GB Pantalla 15.1"" WUXGA OLED",,,Falabella
ASUS,PORTATIL EXPERTBOOK INTEL CORE I7-13620H RAM 16GB SSD 512GB/ 15.6 PULGADAS/WIN11 PRO,,,Falabella
ASUS,PORTATIL EXPERBOOK INTEL CORE I5-13420H SSD 1TB RAM 24GB 15.6 FHD,,,Falabella
ASUS,PORTATIL GAMER TUF INTEL CORE I5 210-H RTX 3050 24GB RAM 1TB SSD FHD 144HZ,,,Falabella
ASUS,PORTÃTIL VIVOBOOK 16 RYZEN AI 7 24GB 2TB SSD PANTALLA 16â³ WUXGA,,,Falabella
ASUS,"PORTATIL TUF GAMING AMD RYZEN 5 7535HS 24GBDDR5 512GBSSD PANT 15,6"" FHD RTX 3050 4GB",,,Falabella
LENOVO,PORTATIL SLIM 3 INTEL CORE I7 13620H - RAM 40GB - SSD 1TB - WIN11 HOME,,,Falabella
ASUS,"TUF GAMING AMD RYZEN 7-7445HS 3050 4GB SSD 1TB RAM 16GB LED 15,6 FHD 144Hz",,,Falabella
ASUS,PORTATIL GAMER TUF INTEL CORE I5 210-H RTX 3050 32GB RAM 512GB SSD FHD 144HZ,,,Falabella
LENOVO,Portatil V14 Intel Core I7 1355u Gen 13 - RAM 40Gb - SSD 1TB Fhd 14 - Win 11,,,Falabella
HP,"PortÃ¡til VICTUS - CORE I5 13420H - 24GB RAM - 512GB SSD - RTX 4050 6GB - 15.6"" FA2701WM GAMER",,,Falabella
ASUS,PORTATIL AMD RYZEN 9 270 SSD 1TB RAM 16GB LED 16 FULL HD,,,Falabella
ASUS,PORTÃTIL VIVOBOOK 16 RYZEN AI 7 24GB 1TB SSD PANTALLA 16â³ WUXGA,,,Falabella
ASUS,"Portatil Vivobook Ryzen 9 270 Memoria Ram 24GB Disco SSD 512 GB Pantalla 16"" WUXGA",,,Falabella
LENOVO,V14 INTEL CORE I7-13620H SSD 2TB RAM 24GB LED 14 FULL HD,,,Falabella
ASUS,PORTÃTIL 16â³ RYZEN 9 16 GB RAM 2 TB SSD WUXGA GRIS + KASPERSKY,,,Falabella
ASUS,PORTATIL EXPERTBOOK INTEL CORE I7-13620H RAM 24GB SSD 1TB/ 15.6 PULGADAS/WIN11 PRO,,,Falabella
ASUS,PORTÃTIL VIVOBOOK 16 RYZEN AI 7 16GB 2TB SSD PANTALLA 16â³ WUXGA,,,Falabella
LENOVO,PORTATIL V14 G4 IRU INTEL CORE I3-1315U 16GB RAM 512GB SSD 14 FHD + MOUSE INALAMBRICO,,,Falabella
HP,"PORTATIL INTEL CORE I7-1355U SSD 1TB RAM 24GB LED 15,6 FULL HD",,,Falabella
HP,PortÃ¡til Gamer Victus 15-fb3019la AMD R7-7445HS 16GB RAM 512GB SSD RTX3050 6GB,,,Falabella
HP,PortÃ¡til 15-fd0098la Core i5 120U 8GB 512GB FHD 15.6,,,Falabella
HP,PORTATIL VICTUS 15 AMD RYZEN 7 7445HS/RAM 16GB DDR5/ 512GB M.2/ 15.6/ RTX 3050 6GB,,,Falabella
LENOVO,"Portatil Slim 3 Intel Core I7 13620H Gen 13 - Memoria Ram 24GB - 1TERA - 15"" - WIN 11",,,Falabella
HP,PortÃ¡til Victus 15-fb3019la Amd Ryzen 7-7445HS Ram 8gb Ssd 512 Rtx 3050,,,Falabella
HP,PortÃ¡til AMD Ryzen 7 7730U 32GB RAM 512GB SSD 15-FC0012LA,,,Falabella
LENOVO,PortÃ¡til IdeaPad Slim 3 G10 Core i7 16GB 512GB Touch-,,,Falabella
ASUS,EXPERTBOOK INTEL CORE I5-13420H SSD 512GB RAM 32GB LED 14 FULL HD,,,Falabella
HP,PortÃ¡til / Intel Core i5-1235U / 32 GB RAM DDR4 / 512 GB SSD / 15.6â³ FHD/obsequio teclado y mouse,,,Falabella
HP,PORTATIL PORTATIL INTEL CI5 1235U RAM 16GB DDR4 SSD 1TB M2 156 - FHD - Xe Graphics,,,Falabella
LENOVO,"PORTATIL V15 Intel Core I5-13420h RAM 16GB SSD 512GB PANTALLA 15,6"" FHD - WIN 11 HOME",,,Falabella
LENOVO,PortÃ¡til Ideapad Intel I7 13620h Ram DDR5 8gb Ssd 1 Tb Computador PortÃ¡til,,,Falabella
HP,PORTATIL INTEL CORE I5-1235U SSD 1TB RAM 16GB LED 15.6 HD,,,Falabella
LENOVO,"PORTATIL IP 15IRH8 INTEL CORE I7 13620H 16GB 512 GB SSD 15 "" FHD",,,Falabella
LENOVO,V14 INTEL CORE I7-13620H SSD 512GB RAM 8GB LED 14 FULL HD,,,Falabella
ASUS,"PORTATÃL X1502VA-BQ1201 CORE I5 13420H 16GB 1TB SSD 15.6""",,,Falabella
ASUS,"PORTATIL VIVOBOOK AMD RYZEN 7-5825U RAM 24GB SSD 512GB 15,6 FHD",,,Falabella
LENOVO,Portatil V14 Intel Core i5 13420 Gen 12 - Ram 24GB - SSD 512GB - 14 FHD - Win 11.,,,Falabella
LENOVO,"Portatil Intel Core i5 13420H - Ram 24Gb - SSD 512Gb - Win 11 - 14"" FHD.",,,Falabella
LENOVO,Portatil IdeaPad slim 3 Intel Core i5-13420H Ram 16Gb SSD 512Gb Win11 Home,,,Falabella
HP,PORTÃTIL INTEL CORE 5-120U 16GB RAM 512GB SSD PANTALLA 156 FHD,,,Falabella
LENOVO,PORTATIL INTEL CORE I5 13420H 16GB RAM - SSD 512GB - 14â³ FHD - WIN 11 HOME,,,Falabella
HP,PortÃ¡til 15-fd0098la Core i5 120u 24GB 512GB FHD 15.6,,,Falabella
HP,PORTATIL INTEL CORE I5 1235U - RAM 8GB DDR4 - SSD 1TB M2 - 15.6 - FULL HD - IRIS XE GRAPHICS,,,Falabella
HP,"PortÃ¡til 15-FD1252LA Intel Core Ultra 5 125H Ddr5 8gb Ssd 512gb 15.6""",,,Falabella
ASUS,PORTATIL EXPERTBOOK INTEL CORE I5 13420H 8GB 512GB SSD WIN11 PRO,,,Falabella
LENOVO,PORTATIL V14 INTEL CORE I5-1315U /RAM 16GB DDR4/ SSD 512GB M.2/ WIN11 HOME 14,,,Falabella
LENOVO,PORTATIL INTEL CORE I5-13420H SSD 256GB RAM 16GB LED 14 FULL HD,,,Falabella
HP,PORTATIL 240 INTEL CORE I5 1334U /RAM 16GB DDR4/ SSD 512GB M.2/ 14/ WIN11 HOME,,,Falabella
HP,PORTATIL 15 INTEL CORE I5-1235U RAM 16GB SSD 512GB 15.6 PULGADAS WIN11 HOME,,,Falabella
